departement,fin_saison,nb_club,moyenne_score_classement,moyenne_tx_remplissage,moyenne_score_event,moyenne_nb_crea_entreprise,moyenne_tx_chomage,moyenne_salaire_median
Ain,2016,1,31,"0,19","0,00",367,"0,071","18 249,29"
Ain,2017,1,35,"0,22","0,00",323,"0,071","18 530,00"
Ain,2018,1,38,"0,26","0,00",385,"0,068","19 180,00"
Alpes-Maritimes,2012,1,13,"0,25","0,00",5 537,"0,070","18 683,00"
Alpes-Maritimes,2013,1,4,"0,28","0,00",5 402,"0,074","18 833,89"
Alpes-Maritimes,2014,1,17,"0,67","0,00",5 317,"0,080","19 010,00"
Alpes-Maritimes,2015,1,11,"0,53","0,00",5 229,"0,084","19 343,60"
Alpes-Maritimes,2016,1,4,"0,53","0,00",5 578,"0,087","19 533,00"
Alpes-Maritimes,2017,1,3,"0,63","0,13",5 890,"0,086","19 830,00"
Alpes-Maritimes,2018,1,8,"0,63","0,25",6 744,"0,085","20 320,00"
Alpes-Maritimes,2019,1,7,"0,53","0,00",7 627,"0,085","20 530,00"
Alpes-Maritimes,2020,1,6,"0,53","0,00",8 120,"0,081","20 870,00"
Alpes-Maritimes,2021,1,9,"0,03","0,00",9 729,"0,077","21 570,00"
Alpes-Maritimes,2022,1,5,"0,53","0,00",10 188,"0,074",#DIV/0!
Alpes-Maritimes,2023,1,9,"0,62","0,00",9 708,"0,071",#DIV/0!
Ardennes,2012,1,24,"0,34","0,00",104,"0,079","14 869,52"
Ardennes,2013,1,39,"0,23","0,00",147,"0,082","15 132,00"
Aube,2012,1,23,"0,53","0,00",462,"0,069","16 440,00"
Aube,2013,1,19,"0,68","0,00",465,"0,075","16 667,00"
Aube,2014,1,30,"0,49","0,00",435,"0,081","16 791,43"
Aube,2015,1,21,"0,47","0,00",421,"0,085","16 821,00"
Aube,2016,1,20,"0,61","0,00",409,"0,086","16 888,67"
Aube,2017,1,23,"0,33","0,00",429,"0,086","17 100,00"
Aube,2018,1,19,"0,60","0,00",634,"0,083","17 450,00"
Aube,2019,1,23,"0,33","0,00",743,"0,083","17 790,00"
Aube,2020,1,24,"0,31","0,00",865,"0,078","17 950,00"
Aube,2021,1,21,"0,21","0,00",1 090,"0,074","18 260,00"
Aube,2022,1,15,"0,47","0,00",938,"0,096",#DIV/0!
Aube,2023,1,19,"0,49","0,00",913,"0,096",#DIV/0!
Aveyron,2020,1,36,"0,48","0,00",291,"0,062","21 490,00"
Aveyron,2021,1,35,"0,31","0,00",330,"0,062","22 210,00"
Aveyron,2022,1,37,"0,24","0,00",371,"0,057",#DIV/0!
Aveyron,2023,1,34,"0,37","0,00",368,"0,058",#DIV/0!
Bas-Rhin,2017,1,21,"0,65","0,00",3 433,"0,063","18 580,00"
Bas-Rhin,2018,1,15,"0,92","0,00",3 980,"0,061","18 790,00"
Bas-Rhin,2019,1,11,"0,97","0,00",4 465,"0,060","19 220,00"
Bas-Rhin,2020,1,10,"0,95","0,00",4 689,"0,058","19 680,00"
Bas-Rhin,2021,1,15,"0,18","0,00",5 853,"0,054","20 260,00"
Bas-Rhin,2022,1,6,"0,90","0,00",5 551,"0,062",#DIV/0!
Bas-Rhin,2023,1,15,"0,97","0,00",4 765,"0,063",#DIV/0!
Bouches-du-Rhône,2012,3,"24,33333333","0,30","0,29",3 356,"0,084","18 076,32"
Bouches-du-Rhône,2013,3,22,"0,26","0,04",3 341,"0,087","18 484,49"
Bouches-du-Rhône,2014,3,26,"0,27","0,04",3 246,"0,089","18 604,82"
Bouches-du-Rhône,2015,2,22,"0,43","0,00",4 722,"0,090","18 023,67"
Bouches-du-Rhône,2016,1,13,"0,65","0,25",9 305,"0,089","18 248,00"
Bouches-du-Rhône,2017,1,5,"0,59","0,00",10 932,"0,087","18 550,00"
Bouches-du-Rhône,2018,1,4,"0,69","0,88",13 429,"0,085","19 010,00"
Bouches-du-Rhône,2019,1,5,"0,79","0,00",15 525,"0,084","19 370,00"
Bouches-du-Rhône,2020,1,2,"0,78","0,00",16 143,"0,080","19 940,00"
Bouches-du-Rhône,2021,1,5,"0,01","0,38",21 891,"0,077","20 600,00"
Bouches-du-Rhône,2022,1,2,"0,81","0,25",22 888,"0,087",#DIV/0!
Bouches-du-Rhône,2023,1,3,"0,93","0,13",19 191,"0,086",#DIV/0!
Calvados,2012,1,18,"0,75","0,00",936,"0,069","18 760,57"
Calvados,2013,1,24,"0,49","0,00",937,"0,072","19 024,40"
Calvados,2014,1,23,"0,53","0,00",990,"0,074","19 271,00"
Calvados,2015,1,13,"0,82","0,00",929,"0,075","19 554,80"
Calvados,2016,1,7,"0,86","0,00",921,"0,074","19 666,19"
Calvados,2017,1,17,"0,82","0,00",1 070,"0,073","20 020,00"
Calvados,2018,1,16,"0,84","0,00",1 522,"0,070","20 450,00"
Calvados,2019,1,19,"0,81","0,00",1 775,"0,070","20 770,00"
Calvados,2020,1,33,"0,50","0,00",1 881,"0,066","21 060,00"
Calvados,2021,1,37,"0,21","0,00",2 227,"0,062","21 600,00"
Calvados,2022,1,27,"0,49","0,00",1 911,"0,064",#DIV/0!
Calvados,2023,1,25,"0,68","0,00",1 981,"0,064",#DIV/0!
Corse-du-Sud,2012,1,16,"0,61","0,00",693,"0,092","19 013,50"
